,0
0,0.22578062117099762
1,0.2179516851902008
2,0.20850032567977905
3,0.20271669328212738
4,0.21197158098220825
5,0.19293752312660217
6,0.2393212765455246
7,0.20524895191192627
8,0.2117563784122467
9,0.2043648660182953
10,0.2072291374206543
11,0.20000703632831573
12,0.19847367703914642
13,0.19903665781021118
14,0.18887779116630554
15,0.19961656630039215
16,0.19223889708518982
17,0.18639780580997467
18,0.22332975268363953
19,0.2090267688035965
20,0.2092873752117157
21,0.1918903887271881
22,0.18408885598182678
23,0.1800246387720108
24,0.1882445514202118
25,0.20265662670135498
26,0.19031791388988495
27,0.1846001297235489
28,0.20233650505542755
29,0.18941593170166016
30,0.18164288997650146
31,0.18555255234241486
32,0.17820733785629272
33,0.18720605969429016
34,0.19639211893081665
35,0.19074057042598724
36,0.20991575717926025
37,0.18619637191295624
38,0.16831527650356293
39,0.20952749252319336
40,0.18503674864768982
41,0.1829526275396347
42,0.18466614186763763
43,0.1779368817806244
44,0.19430452585220337
45,0.1898203343153
46,0.1731162965297699
47,0.1762658655643463
48,0.16964608430862427
49,0.17721250653266907
50,0.1866903156042099
51,0.1868106722831726
52,0.18660835921764374
53,0.17832517623901367
54,0.17985548079013824
55,0.19511578977108002
56,0.16905224323272705
57,0.17254190146923065
58,0.17479433119297028
59,0.17596279084682465
60,0.18314912915229797
61,0.1848728060722351
62,0.16906875371932983
63,0.178092822432518
64,0.19828635454177856
65,0.17977875471115112
66,0.17915847897529602
67,0.16961097717285156
68,0.17544983327388763
69,0.17497296631336212
70,0.16694408655166626
71,0.1774614304304123
72,0.1808464080095291
73,0.15499894320964813
74,0.17267461121082306
75,0.17743253707885742
76,0.1664188951253891
77,0.17037972807884216
78,0.1688833236694336
79,0.16135220229625702
80,0.17018815875053406
81,0.16688762605190277
82,0.1661774218082428
83,0.17616000771522522
84,0.15440969169139862
85,0.1717034876346588
86,0.17796912789344788
87,0.16471993923187256
88,0.17891597747802734
89,0.17073775827884674
90,0.15705862641334534
91,0.1555367112159729
92,0.1588098555803299
93,0.16919685900211334
94,0.1542111188173294
95,0.1811678111553192
96,0.1679394543170929
97,0.16407130658626556
98,0.16088254749774933
99,0.16758354008197784
100,0.16405677795410156
101,0.17231279611587524
102,0.16332903504371643
103,0.17079980671405792
104,0.1629035770893097
105,0.15767283737659454
106,0.17158542573451996
107,0.14683394134044647
108,0.1702207624912262
109,0.14442606270313263
110,0.16936255991458893
111,0.15541094541549683
112,0.1496167629957199
113,0.1595354527235031
114,0.15120837092399597
115,0.1792047917842865
116,0.1663130223751068
117,0.15636152029037476
118,0.15095552802085876
119,0.15749084949493408
120,0.1602197140455246
121,0.15993811190128326
122,0.1494276076555252
123,0.1521039456129074
124,0.16039550304412842
125,0.15532590448856354
126,0.15501174330711365
127,0.15533779561519623
128,0.14869746565818787
129,0.15594597160816193
130,0.1540277898311615
131,0.1775369644165039
132,0.15368501842021942
133,0.151819109916687
134,0.1444850116968155
135,0.14518365263938904
136,0.15300284326076508
137,0.15282869338989258
138,0.14101381599903107
139,0.15298564732074738
140,0.14972653985023499
141,0.1813426911830902
142,0.15035320818424225
143,0.16043131053447723
144,0.14169247448444366
145,0.14220376312732697
146,0.14343003928661346
147,0.1482980102300644
148,0.14326123893260956
149,0.14389537274837494
150,0.1441308557987213
151,0.1389404684305191
152,0.1444615125656128
153,0.13849090039730072
154,0.14791682362556458
155,0.13771668076515198
156,0.14220966398715973
157,0.14158400893211365
158,0.1367589235305786
159,0.13978834450244904
160,0.14130127429962158
161,0.15320232510566711
162,0.1368771493434906
163,0.15933403372764587
164,0.1500648558139801
165,0.13673096895217896
166,0.15548773109912872
167,0.14345210790634155
168,0.14174878597259521
169,0.1434687376022339
170,0.14274634420871735
171,0.1569344699382782
172,0.1384429782629013
173,0.13512398302555084
174,0.1451016664505005
175,0.13463899493217468
176,0.13122917711734772
177,0.14455248415470123
178,0.13585445284843445
179,0.1490774154663086
180,0.15694205462932587
181,0.13267211616039276
182,0.14279142022132874
183,0.1334713101387024
184,0.13746577501296997
185,0.13525350391864777
186,0.15528732538223267
187,0.13229411840438843
188,0.14783979952335358
189,0.14673978090286255
190,0.14430953562259674
191,0.13908448815345764
192,0.1385033279657364
193,0.12567219138145447
194,0.1390731930732727
195,0.14497186243534088
196,0.14348971843719482
197,0.1301339864730835
198,0.14787325263023376
199,0.1387510448694229
